,Power,Scan Speed,H_star,Hatch Space,reward
144,50.0,1.2315789473684209,28.24555521168088,0.061184210526315785,-1.0
145,50.0,1.2315789473684209,25.753300340061987,0.06710526315789472,-1.0
146,50.0,1.2315789473684209,23.66519490708398,0.07302631578947369,-1.0
147,50.0,1.2315789473684209,21.890305289052687,0.07894736842105263,-1.0
148,50.0,1.2315789473684209,20.363074687490872,0.08486842105263157,-1.0
149,50.0,1.2315789473684209,19.035048077437118,0.09078947368421052,-1.0
150,50.0,1.2315789473684209,17.869636970655254,0.09671052631578947,-1.0
151,50.0,1.2315789473684209,16.838696376194374,0.10263157894736841,-1.0
152,50.0,1.2315789473684209,15.92022202840195,0.10855263157894737,-1.0
153,50.0,1.2315789473684209,15.096762268312194,0.11447368421052631,-1.0
154,50.0,1.2315789473684209,14.354298550198482,0.12039473684210525,-1.0
155,50.0,1.2315789473684209,13.681440805657928,0.1263157894736842,-1.0
156,50.0,1.2315789473684209,13.068838978538915,0.13223684210526315,-1.0
157,50.0,1.2315789473684209,12.508745879458676,0.1381578947368421,-1.0
158,50.0,1.2315789473684209,11.99468782961791,0.14407894736842103,-1.0
159,50.0,1.2315789473684209,11.521213310027727,0.15,-1.0
160,50.0,1.3789473684210525,43.55274092259153,0.0375,-1.0
161,50.0,1.3789473684210525,37.6137307967836,0.043421052631578944,-1.0
162,50.0,1.3789473684210525,33.10008310116956,0.049342105263157895,-1.0
163,50.0,1.3789473684210525,29.553645626044254,0.05526315789473684,-1.0
164,50.0,1.3789473684210525,26.693615404169,0.061184210526315785,-1.0
165,50.0,1.3789473684210525,24.338296397918803,0.06710526315789472,-1.0
